coach,Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L%,Rank,Num,Won,Notes
Jimmy Johnson,1989,46,DAL,NFL,16,1,15,0,.063,-10.4,-7.6,-2.8,,,,,5,,,
Jimmy Johnson,1990,47,DAL,NFL,16,7,9,0,.438,-3.7,-4.8,1.1,,,,,4,,,
Jimmy Johnson,1991,48,DAL,NFL,16,11,5,0,.688,4.4,3.7,0.8,2,1,1,.500,2,,,
Jimmy Johnson,1992,49,DAL,NFL,16,13,3,0,.813,10.0,6.4,3.6,3,3,0,1.000,1,,,Super Bowl Champions
Jimmy Johnson,1993,50,DAL,NFL,16,12,4,0,.750,9.6,4.9,4.7,3,3,0,1.000,1,,,Super Bowl Champions
Jimmy Johnson,1996,53,MIA,NFL,16,8,8,0,.500,0.3,0.6,-0.4,,,,,4,,,
Jimmy Johnson,1997,54,MIA,NFL,16,9,7,0,.563,1.3,1.0,0.3,1,0,1,.000,2,,,
Jimmy Johnson,1998,55,MIA,NFL,16,10,6,0,.625,5.9,-0.7,6.5,2,1,1,.500,2,,,
Jimmy Johnson,1999,56,MIA,NFL,16,9,7,0,.563,1.9,1.2,0.7,2,1,1,.500,3,7,2,
